no,feature1,feature2,corrcoef
13,original_firstorder_10Percentile.nrrd,original_firstorder_Skewness.nrrd,-0.256005489
18,original_firstorder_10Percentile.nrrd,original_glcm_ClusterProminence.nrrd,0.6649128832942801
19,original_firstorder_10Percentile.nrrd,original_glcm_ClusterShade.nrrd,-0.178709981
34,original_firstorder_10Percentile.nrrd,original_glcm_JointEnergy.nrrd,0.7900776603164833
51,original_firstorder_10Percentile.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7224004321725052
54,original_firstorder_10Percentile.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.5846331833928646
61,original_firstorder_10Percentile.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7407197244070822
62,original_firstorder_10Percentile.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7168913072739838
70,original_firstorder_10Percentile.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7105470312134956
75,original_firstorder_10Percentile.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.7779852742153073
77,original_firstorder_10Percentile.nrrd,original_glszm_LargeAreaLowGrayLevelEmphasis.nrrd,0.7431529508876348
78,original_firstorder_10Percentile.nrrd,original_glszm_LowGrayLevelZoneEmphasis.nrrd,0.6462208724211662
83,original_firstorder_10Percentile.nrrd,original_glszm_SmallAreaLowGrayLevelEmphasis.nrrd,0.5834595943912106
86,original_firstorder_10Percentile.nrrd,original_glszm_ZoneVariance.nrrd,0.6406722275497052
104,original_firstorder_90Percentile.nrrd,original_firstorder_Skewness.nrrd,-0.275814003
109,original_firstorder_90Percentile.nrrd,original_glcm_ClusterProminence.nrrd,0.7350925294524047
110,original_firstorder_90Percentile.nrrd,original_glcm_ClusterShade.nrrd,-0.217759394
125,original_firstorder_90Percentile.nrrd,original_glcm_JointEnergy.nrrd,0.7535674720411498
142,original_firstorder_90Percentile.nrrd,original_gldm_LowGrayLevelEmphasis.nrrd,0.7519680404197226
145,original_firstorder_90Percentile.nrrd,original_gldm_SmallDependenceLowGrayLevelEmphasis.nrrd,0.6247763636800295
152,original_firstorder_90Percentile.nrrd,original_glrlm_LongRunLowGrayLevelEmphasis.nrrd,0.7674844834167284
153,original_firstorder_90Percentile.nrrd,original_glrlm_LowGrayLevelRunEmphasis.nrrd,0.7466521701028408
161,original_firstorder_90Percentile.nrrd,original_glrlm_ShortRunLowGrayLevelEmphasis.nrrd,0.7410270843737536
166,original_firstorder_90Percentile.nrrd,original_glszm_LargeAreaEmphasis.nrrd,0.7427469386707093
