,file,length,width,height,size
0,dataset/BraTS2021_Training_Data/BraTS2021_00000/BraTS2021_00000_seg.nii.gz,42,65,42,1
1,dataset/BraTS2021_Training_Data/BraTS2021_00002/BraTS2021_00002_seg.nii.gz,43,47,43,1
2,dataset/BraTS2021_Training_Data/BraTS2021_00003/BraTS2021_00003_seg.nii.gz,38,49,48,1
3,dataset/BraTS2021_Training_Data/BraTS2021_00005/BraTS2021_00005_seg.nii.gz,40,52,53,1
4,dataset/BraTS2021_Training_Data/BraTS2021_00006/BraTS2021_00006_seg.nii.gz,42,59,42,1
5,dataset/BraTS2021_Training_Data/BraTS2021_00008/BraTS2021_00008_seg.nii.gz,14,10,13,1
6,dataset/BraTS2021_Training_Data/BraTS2021_00009/BraTS2021_00009_seg.nii.gz,14,15,15,1
7,dataset/BraTS2021_Training_Data/BraTS2021_00011/BraTS2021_00011_seg.nii.gz,23,36,33,1
8,dataset/BraTS2021_Training_Data/BraTS2021_00012/BraTS2021_00012_seg.nii.gz,56,68,45,1
9,dataset/BraTS2021_Training_Data/BraTS2021_00014/BraTS2021_00014_seg.nii.gz,16,30,24,1
10,dataset/BraTS2021_Training_Data/BraTS2021_00016/BraTS2021_00016_seg.nii.gz,33,42,34,1
11,dataset/BraTS2021_Training_Data/BraTS2021_00017/BraTS2021_00017_seg.nii.gz,19,19,15,1
12,dataset/BraTS2021_Training_Data/BraTS2021_00018/BraTS2021_00018_seg.nii.gz,51,65,61,1
13,dataset/BraTS2021_Training_Data/BraTS2021_00019/BraTS2021_00019_seg.nii.gz,53,43,31,1
14,dataset/BraTS2021_Training_Data/BraTS2021_00020/BraTS2021_00020_seg.nii.gz,35,45,38,1
15,dataset/BraTS2021_Training_Data/BraTS2021_00021/BraTS2021_00021_seg.nii.gz,32,33,19,1
16,dataset/BraTS2021_Training_Data/BraTS2021_00022/BraTS2021_00022_seg.nii.gz,52,61,62,1
17,dataset/BraTS2021_Training_Data/BraTS2021_00024/BraTS2021_00024_seg.nii.gz,59,68,21,1
18,dataset/BraTS2021_Training_Data/BraTS2021_00025/BraTS2021_00025_seg.nii.gz,23,23,26,1
19,dataset/BraTS2021_Training_Data/BraTS2021_00026/BraTS2021_00026_seg.nii.gz,37,76,53,1
20,dataset/BraTS2021_Training_Data/BraTS2021_00028/BraTS2021_00028_seg.nii.gz,44,30,52,1
21,dataset/BraTS2021_Training_Data/BraTS2021_00030/BraTS2021_00030_seg.nii.gz,43,56,44,1
22,dataset/BraTS2021_Training_Data/BraTS2021_00031/BraTS2021_00031_seg.nii.gz,36,29,39,1
23,dataset/BraTS2021_Training_Data/BraTS2021_00032/BraTS2021_00032_seg.nii.gz,30,30,33,1
24,dataset/BraTS2021_Training_Data/BraTS2021_00033/BraTS2021_00033_seg.nii.gz,27,27,26,1
25,dataset/BraTS2021_Training_Data/BraTS2021_00035/BraTS2021_00035_seg.nii.gz,30,30,28,1
26,dataset/BraTS2021_Training_Data/BraTS2021_00036/BraTS2021_00036_seg.nii.gz,47,72,49,1
27,dataset/BraTS2021_Training_Data/BraTS2021_00043/BraTS2021_00043_seg.nii.gz,33,35,39,1
28,dataset/BraTS2021_Training_Data/BraTS2021_00044/BraTS2021_00044_seg.nii.gz,22,21,21,1
29,dataset/BraTS2021_Training_Data/BraTS2021_00045/BraTS2021_00045_seg.nii.gz,24,30,28,1
30,dataset/BraTS2021_Training_Data/BraTS2021_00046/BraTS2021_00046_seg.nii.gz,27,23,34,1
31,dataset/BraTS2021_Training_Data/BraTS2021_00048/BraTS2021_00048_seg.nii.gz,32,35,32,1
32,dataset/BraTS2021_Training_Data/BraTS2021_00049/BraTS2021_00049_seg.nii.gz,31,38,39,1
33,dataset/BraTS2021_Training_Data/BraTS2021_00051/BraTS2021_00051_seg.nii.gz,38,35,38,1
34,dataset/BraTS2021_Training_Data/BraTS2021_00052/BraTS2021_00052_seg.nii.gz,48,84,54,1
35,dataset/BraTS2021_Training_Data/BraTS2021_00053/BraTS2021_00053_seg.nii.gz,57,57,60,1
36,dataset/BraTS2021_Training_Data/BraTS2021_00054/BraTS2021_00054_seg.nii.gz,60,67,56,1
37,dataset/BraTS2021_Training_Data/BraTS2021_00056/BraTS2021_00056_seg.nii.gz,44,76,46,1
38,dataset/BraTS2021_Training_Data/BraTS2021_00058/BraTS2021_00058_seg.nii.gz,30,31,28,1
39,dataset/BraTS2021_Training_Data/BraTS2021_00059/BraTS2021_00059_seg.nii.gz,41,45,47,1
40,dataset/BraTS2021_Training_Data/BraTS2021_00060/BraTS2021_00060_seg.nii.gz,52,80,68,1
41,dataset/BraTS2021_Training_Data/BraTS2021_00061/BraTS2021_00061_seg.nii.gz,34,42,30,1
42,dataset/BraTS2021_Training_Data/BraTS2021_00062/BraTS2021_00062_seg.nii.gz,22,24,21,1
43,dataset/BraTS2021_Training_Data/BraTS2021_00063/BraTS2021_00063_seg.nii.gz,31,28,35,1
44,dataset/BraTS2021_Training_Data/BraTS2021_00064/BraTS2021_00064_seg.nii.gz,46,71,48,1
