notebook,class,kernel,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,confusion_matrix,support_0,support_1,cpu_total_time
RandomForest.all.ipynb,all,kernel3,RandomForest,0.9675,0.9003,0.7565,0.8222,0.8081,0.9757,0.9064,"[[7937 74]
 [215 668]]",8011,883,47.7 s
RandomForest.firstorder.ipynb,firstorder,kernel3,RandomForest,0.9669,0.8761,0.7769,0.8235,0.8071,0.9553,0.8625,"[[7914 97]
 [197 686]]",8011,883,30.6 s
RandomForest.glcm.ipynb,glcm,kernel3,RandomForest,0.972,0.8847,0.8256,0.8541,0.8393,0.9744,0.9092,"[[7916 95]
 [154 729]]",8011,883,29.7 s
RandomForest.gldm.ipynb,gldm,kernel3,RandomForest,0.9668,0.8973,0.752,0.8182,0.8039,0.9642,0.8716,"[[7935 76]
 [219 664]]",8011,883,27.2 s
RandomForest.glrlm.ipynb,glrlm,kernel3,RandomForest,0.9655,0.883,0.752,0.8122,0.7965,0.956,0.8645,"[[7923 88]
 [219 664]]",8011,883,27.3 s
RandomForest.glszm.ipynb,glszm,kernel3,RandomForest,0.961,0.8671,0.7169,0.7849,0.7678,0.9591,0.8588,"[[7914 97]
 [250 633]]",8011,883,27.6 s
RandomForest.ngtdm.ipynb,ngtdm,kernel3,RandomForest,0.9564,0.8935,0.6365,0.7434,0.7327,0.947,0.8276,"[[7944 67]
 [321 562]]",8011,883,25.9 s
SVM.all.ipynb,all,kernel3,SVM,0.9195,0.5588,0.8992,0.6892,0.67,0.9592,0.7469,"[[7384 627]
 [89 794]]",8011,883,1 min
SVM.firstorder.ipynb,firstorder,kernel3,SVM,0.9613,0.8728,0.7146,0.7858,0.7694,0.9546,0.8382,"[[7919 92]
 [252 631]]",8011,883,42.9 s
SVM.glcm.ipynb,glcm,kernel3,SVM,0.9006,0.4997,0.9309,0.6503,0.6379,0.9583,0.7636,"[[7188 823]
 [61 822]]",8011,883,22.9 s
SVM.gldm.ipynb,gldm,kernel3,SVM,0.9672,0.9289,0.7248,0.8142,0.8039,0.9661,0.8953,"[[7962 49]
 [243 640]]",8011,883,36.1 s
SVM.glrlm.ipynb,glrlm,kernel3,SVM,0.9668,0.9273,0.7225,0.8122,0.8018,0.9613,0.8935,"[[7961 50]
 [245 638]]",8011,883,34.7 s
SVM.glszm.ipynb,glszm,kernel3,SVM,0.964,0.9134,0.7044,0.7954,0.7839,0.961,0.8857,"[[7952 59]
 [261 622]]",8011,883,33.9 s
SVM.ngtdm.ipynb,ngtdm,kernel3,SVM,0.9145,0.8,0.1857,0.3015,0.3599,0.9355,0.6619,"[[7970 41]
 [719 164]]",8011,883,48 s
XGBoost.all.ipynb,all,kernel3,XGBoost,0.9659,0.7821,0.9105,0.8414,0.8255,0.9749,0.9115,"[[7787 224]
 [79 804]]",8011,883,41.5 s
XGBoost.firstorder.ipynb,firstorder,kernel3,XGBoost,0.963,0.8206,0.8029,0.8117,0.7912,0.9528,0.8687,"[[7856 155]
 [174 709]]",8011,883,16.9 s
XGBoost.glcm.ipynb,glcm,kernel3,XGBoost,0.9576,0.7275,0.9162,0.811,0.7942,0.9714,0.9033,"[[7708 303]
 [74 809]]",8011,883,19.2 s
XGBoost.gldm.ipynb,gldm,kernel3,XGBoost,0.9647,0.8525,0.7792,0.8142,0.7957,0.9601,0.8721,"[[7892 119]
 [195 688]]",8011,883,15.5 s
XGBoost.glrlm.ipynb,glrlm,kernel3,XGBoost,0.9645,0.8436,0.7882,0.815,0.7959,0.9584,0.8685,"[[7882 129]
 [187 696]]",8011,883,15.4 s
XGBoost.glszm.ipynb,glszm,kernel3,XGBoost,0.9653,0.8561,0.7814,0.8171,0.7989,0.9565,0.8711,"[[7895 116]
 [193 690]]",8011,883,16.3 s
XGBoost.ngtdm.ipynb,ngtdm,kernel3,XGBoost,0.9592,0.8125,0.7656,0.7883,0.7662,0.9462,0.8291,"[[7855 156]
 [207 676]]",8011,883,14.6 s
