notebook,class,kernel,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,confusion_matrix,support_0,support_1,cpu_total_time
XGBoost.glcm.100p.ipynb,glcm,kernel5,XGBoost,0.9208,0.4558,0.644,0.5338,0.5007,0.9047,0.5705,"[[228653 14140]
 [6546 11844]]",242793,18390,54.1 s
XGBoost.glcm.200p.ipynb,glcm,kernel5,XGBoost,0.8724,0.3392,0.857,0.4861,0.4888,0.9335,0.6859,"[[212091 30702]
 [2629 15761]]",242793,18390,2 min
XGBoost.glcm.300p.ipynb,glcm,kernel5,XGBoost,0.8434,0.2949,0.8795,0.4417,0.4524,0.9327,0.6856,"[[204115 38678]
 [2216 16174]]",242793,18390,3 min
XGBoost.glcm.400p.ipynb,glcm,kernel5,XGBoost,0.8165,0.2631,0.8923,0.4064,0.4219,0.931,0.6806,"[[196835 45958]
 [1980 16410]]",242793,18390,3 min
XGBoost.glcm.500p.ipynb,glcm,kernel5,XGBoost,0.8259,0.2743,0.895,0.4199,0.4352,0.9354,0.7035,"[[199247 43546]
 [1931 16459]]",242793,18390,3 min
XGBoost.glcm.600p.ipynb,glcm,kernel5,XGBoost,0.8287,0.2776,0.8937,0.4236,0.4385,0.936,0.7062,"[[200019 42774]
 [1954 16436]]",242793,18390,4 min
XGBoost.glcm.700p.ipynb,glcm,kernel5,XGBoost,0.8261,0.2745,0.8952,0.4202,0.4355,0.9364,0.7084,"[[199289 43504]
 [1928 16462]]",242793,18390,5 min
XGBoost.glcm.800p.ipynb,glcm,kernel5,XGBoost,0.8312,0.281,0.8962,0.4278,0.4429,0.9392,0.7153,"[[200612 42181]
 [1908 16482]]",242793,18390,5 min
XGBoost.glcm.900p.ipynb,glcm,kernel5,XGBoost,0.8483,0.3034,0.8915,0.4527,0.4651,0.942,0.7337,"[[205155 37638]
 [1996 16394]]",242793,18390,6 min
XGBoost.glcm.1000p.ipynb,glcm,kernel5,XGBoost,0.8299,0.2801,0.9016,0.4274,0.4437,0.9412,0.7279,"[[200177 42616]
 [1809 16581]]",242793,18390,7 min
XGBoost.glcm.1100p.ipynb,glcm,kernel5,XGBoost,0.8297,0.2797,0.9008,0.4269,0.443,0.9416,0.7296,"[[200136 42657]
 [1825 16565]]",242793,18390,8 min
XGBoost.glcm.1200p.ipynb,glcm,kernel5,XGBoost,0.8211,0.2699,0.9035,0.4156,0.433,0.9408,0.7278,"[[197848 44945]
 [1775 16615]]",242793,18390,8 min
