notebook,class,kernel,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,confusion_matrix,support_0,support_1
GradientBoostedTreesModel.1.firstorder.Tensorflow.ipynb,firstorder,kernel4,GradientBoostedTreesModel,0.9319,0.7895,0.7627,0.7759,0.7359,0.9697,0.8963,"[[311 12]
 [14 45]]",323,59
GradientBoostedTreesModel.1.glcm.Tensorflow.ipynb,glcm,kernel4,GradientBoostedTreesModel,0.9581,0.807,0.902,0.8519,0.8293,0.981,0.9336,"[[320 11]
 [5 46]]",331,51
GradientBoostedTreesModel.1.gldm.Tensorflow.ipynb,gldm,kernel4,GradientBoostedTreesModel,0.9503,0.7556,0.8095,0.7816,0.7542,0.956,0.8769,"[[329 11]
 [8 34]]",340,42
GradientBoostedTreesModel.1.glrlm.Tensorflow.ipynb,glrlm,kernel4,GradientBoostedTreesModel,0.9503,0.8475,0.8333,0.8403,0.8109,0.9782,0.934,"[[313 9]
 [10 50]]",322,60
GradientBoostedTreesModel.1.glszm.Tensorflow.ipynb,glszm,kernel4,GradientBoostedTreesModel,0.9476,0.7797,0.8679,0.8214,0.7924,0.9876,0.9499,"[[316 13]
 [7 46]]",329,53
GradientBoostedTreesModel.1.ngtdm.Tensorflow.ipynb,ngtdm,kernel4,GradientBoostedTreesModel,0.9346,0.7258,0.8491,0.7826,0.7475,0.9698,0.8197,"[[312 17]
 [8 45]]",329,53
RandomForest.1.firstorder.Tensorflow.ipynb,firstorder,kernel4,RandomForest,0.9372,0.8182,0.7627,0.7895,0.7532,0.9715,0.9001,"[[313 10]
 [14 45]]",323,59
RandomForest.1.glcm.Tensorflow.ipynb,glcm,kernel4,RandomForest,0.9634,0.8364,0.902,0.8679,0.8475,0.9898,0.9472,"[[322 9]
 [5 46]]",331,51
RandomForest.1.gldm.Tensorflow.ipynb,gldm,kernel4,RandomForest,0.9529,0.7727,0.8095,0.7907,0.7644,0.9802,0.8929,"[[330 10]
 [8 34]]",340,42
RandomForest.1.glrlm.Tensorflow.ipynb,glrlm,kernel4,RandomForest,0.9503,0.8154,0.8833,0.848,0.8193,0.9714,0.9265,"[[310 12]
 [7 53]]",322,60
RandomForest.1.glszm.Tensorflow.ipynb,glszm,kernel4,RandomForest,0.9607,0.8393,0.8868,0.8624,0.8399,0.9869,0.9477,"[[320 9]
 [6 47]]",329,53
RandomForest.1.ngtdm.Tensorflow.ipynb,ngtdm,kernel4,RandomForest,0.9346,0.7188,0.8679,0.7863,0.7527,0.9687,0.8062,"[[311 18]
 [7 46]]",329,53
SVM.1.firstorder.Tensorflow.ipynb,firstorder,kernel4,SVM,0.9162,0.7213,0.7458,0.7333,0.6838,0.9481,0.6675,"[[306 17]
 [15 44]]",323,59
SVM.1.glcm.Tensorflow.ipynb,glcm,kernel4,SVM,0.8665,0.0,0.0,0.0,0.0,0.4216,0.1201,"[[331 0]
 [51 0]]",331,51
SVM.1.gldm.Tensorflow.ipynb,gldm,kernel4,SVM,0.9136,0.5818,0.7619,0.6598,0.6186,0.9527,0.7374,"[[317 23]
 [10 32]]",340,42
SVM.1.glrlm.Tensorflow.ipynb,glrlm,kernel4,SVM,0.9346,0.7778,0.8167,0.7967,0.7581,0.9598,0.8313,"[[308 14]
 [11 49]]",322,60
SVM.1.glszm.Tensorflow.ipynb,glszm,kernel4,SVM,,,,,,,,,,
SVM.1.ngtdm.Tensorflow.ipynb,ngtdm,kernel4,SVM,0.8613,0.0,0.0,0.0,0.0,0.5618,0.1897,"[[329 0]
 [53 0]]",329,53
