notebook,class,kernel,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,confusion_matrix,support_0,support_1,cpu_total_time
RandomForest.all.ipynb,all,kernel4,RandomForest,0.9671,0.9176,0.7357,0.8166,0.8047,0.9813,0.897,"[[2041 15]
 [60 167]]",2056,227,13.5 s
RandomForest.firstorder.ipynb,firstorder,kernel4,RandomForest,0.9654,0.87,0.7665,0.815,0.7979,0.9588,0.8681,"[[2030 26]
 [53 174]]",2056,227,10.2 s
RandomForest.glcm.ipynb,glcm,kernel4,RandomForest,0.9667,0.8912,0.7577,0.819,0.804,0.9792,0.8996,"[[2035 21]
 [55 172]]",2056,227,9.79 s
RandomForest.gldm.ipynb,gldm,kernel4,RandomForest,0.968,0.9053,0.7577,0.8249,0.8114,0.9544,0.8678,"[[2038 18]
 [55 172]]",2056,227,9.48 s
RandomForest.glrlm.ipynb,glrlm,kernel4,RandomForest,0.9671,0.8958,0.7577,0.821,0.8065,0.9536,0.8543,"[[2036 20]
 [55 172]]",2056,227,9.41 s
RandomForest.glszm.ipynb,glszm,kernel4,RandomForest,0.9615,0.9112,0.6784,0.7778,0.7671,0.9666,0.8549,"[[2041 15]
 [73 154]]",2056,227,9.84 s
RandomForest.ngtdm.ipynb,ngtdm,kernel4,RandomForest,0.9553,0.8788,0.6388,0.7398,0.7269,0.9525,0.8268,"[[2036 20]
 [82 145]]",2056,227,9.99 s
SVM.all.ipynb,all,kernel4,SVM,0.9435,0.6738,0.837,0.7466,0.7205,0.9698,0.8245,"[[1964 92]
 [37 190]]",2056,227,2.59 s
SVM.firstorder.ipynb,firstorder,kernel4,SVM,0.9571,0.8686,0.6696,0.7562,0.7406,0.9461,0.8564,"[[2033 23]
 [75 152]]",2056,227,3.13 s
SVM.glcm.ipynb,glcm,kernel4,SVM,0.9251,0.5773,0.9207,0.7097,0.6933,0.9716,0.8431,"[[1903 153]
 [18 209]]",2056,227,1.7 s
SVM.gldm.ipynb,gldm,kernel4,SVM,0.9636,0.9045,0.7093,0.7951,0.7823,0.9554,0.8816,"[[2039 17]
 [66 161]]",2056,227,2.64 s
SVM.glrlm.ipynb,glrlm,kernel4,SVM,0.9601,0.8908,0.6828,0.7731,0.7596,0.9482,0.8476,"[[2037 19]
 [72 155]]",2056,227,2.26 s
SVM.glszm.ipynb,glszm,kernel4,SVM,0.9584,0.8667,0.6872,0.7666,0.7501,0.9574,0.8502,"[[2032 24]
 [71 156]]",2056,227,2.13 s
SVM.ngtdm.ipynb,ngtdm,kernel4,SVM,0.9089,0.7317,0.1322,0.2239,0.2857,0.9219,0.5347,"[[2045 11]
 [197 30]]",2056,227,3.54 s
XGBoost.all.ipynb,all,kernel4,XGBoost,0.9715,0.8716,0.837,0.8539,0.8384,0.9813,0.9215,"[[2028 28]
 [37 190]]",2056,227,24.7 s
XGBoost.firstorder.ipynb,firstorder,kernel4,XGBoost,0.9658,0.8565,0.7885,0.8211,0.8031,0.9535,0.8561,"[[2026 30]
 [48 179]]",2056,227,9.78 s
XGBoost.glcm.ipynb,glcm,kernel4,XGBoost,0.9689,0.8305,0.8634,0.8467,0.8295,0.9813,0.9115,"[[2016 40]
 [31 196]]",2056,227,9.7 s
XGBoost.gldm.ipynb,gldm,kernel4,XGBoost,0.9663,0.8947,0.7489,0.8153,0.8008,0.9506,0.8611,"[[2036 20]
 [57 170]]",2056,227,7.36 s
XGBoost.glrlm.ipynb,glrlm,kernel4,XGBoost,0.9641,0.8919,0.7269,0.801,0.7864,0.9494,0.8349,"[[2036 20]
 [62 165]]",2056,227,7.85 s
XGBoost.glszm.ipynb,glszm,kernel4,XGBoost,0.961,0.8833,0.7004,0.7813,0.7664,0.9586,0.8551,"[[2035 21]
 [68 159]]",2056,227,9.16 s
XGBoost.ngtdm.ipynb,ngtdm,kernel4,XGBoost,0.9606,0.8703,0.7093,0.7816,0.7649,0.9536,0.8305,"[[2032 24]
 [66 161]]",2056,227,5.85 s
