notebook,class,kernel,model,accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,confusion_matrix,support_0,support_1,cpu_total_time
XGBoost.1200p.threshold005.ipynb,threshold005,kernel5,XGBoost,0.446,0.1113,0.9838,0.2,0.2053,0.9408,0.7278,"[[98399 144394]
 [298 18092]]",242793,18390,7 min
XGBoost.1200p.threshold010.ipynb,threshold010,kernel5,XGBoost,0.5414,0.1305,0.9734,0.2301,0.247,0.9408,0.7278,"[[123509 119284]
 [489 17901]]",242793,18390,7 min
XGBoost.1200p.threshold015.ipynb,threshold015,kernel5,XGBoost,0.605,0.1475,0.9647,0.2559,0.2784,0.9408,0.7278,"[[140278 102515]
 [649 17741]]",242793,18390,7 min
XGBoost.1200p.threshold020.ipynb,threshold020,kernel5,XGBoost,0.6526,0.1636,0.9566,0.2794,0.3047,0.9408,0.7278,"[[152869 89924]
 [799 17591]]",242793,18390,7 min
XGBoost.1200p.threshold025.ipynb,threshold025,kernel5,XGBoost,0.6907,0.1792,0.9476,0.3014,0.3276,0.9408,0.7278,"[[162984 79809]
 [963 17427]]",242793,18390,7 min
XGBoost.1200p.threshold030.ipynb,threshold030,kernel5,XGBoost,0.723,0.1951,0.9387,0.3231,0.3489,0.9408,0.7278,"[[171575 71218]
 [1127 17263]]",242793,18390,7 min
XGBoost.1200p.threshold035.ipynb,threshold035,kernel5,XGBoost,0.7511,0.2114,0.9289,0.3445,0.3689,0.9408,0.7278,"[[179085 63708]
 [1307 17083]]",242793,18390,8 min
XGBoost.1200p.threshold040.ipynb,threshold040,kernel5,XGBoost,0.7764,0.2292,0.9208,0.3671,0.3899,0.9408,0.7278,"[[185858 56935]
 [1456 16934]]",242793,18390,7 min
XGBoost.1200p.threshold045.ipynb,threshold045,kernel5,XGBoost,0.7993,0.2482,0.9125,0.3903,0.4107,0.9408,0.7278,"[[191976 50817]
 [1610 16780]]",242793,18390,7 min
XGBoost.1200p.threshold050.ipynb,threshold050,kernel5,XGBoost,0.8211,0.2699,0.9035,0.4156,0.433,0.9408,0.7278,"[[197848 44945]
 [1775 16615]]",242793,18390,8 min
XGBoost.1200p.threshold055.ipynb,threshold055,kernel5,XGBoost,0.841,0.2934,0.8936,0.4417,0.4554,0.9408,0.7278,"[[203208 39585]
 [1956 16434]]",242793,18390,8 min
XGBoost.1200p.threshold060.ipynb,threshold060,kernel5,XGBoost,0.8596,0.3198,0.8821,0.4694,0.4786,0.9408,0.7278,"[[208293 34500]
 [2169 16221]]",242793,18390,8 min
XGBoost.1200p.threshold065.ipynb,threshold065,kernel5,XGBoost,0.8777,0.3512,0.8695,0.5003,0.5043,0.9408,0.7278,"[[213254 29539]
 [2399 15991]]",242793,18390,8 min
XGBoost.1200p.threshold070.ipynb,threshold070,kernel5,XGBoost,0.8943,0.3863,0.8519,0.5316,0.5294,0.9408,0.7278,"[[217904 24889]
 [2723 15667]]",242793,18390,9 min
XGBoost.1200p.threshold075.ipynb,threshold075,kernel5,XGBoost,0.9099,0.4279,0.83,0.5647,0.5557,0.9408,0.7278,"[[222387 20406]
 [3127 15263]]",242793,18390,8 min
XGBoost.1200p.threshold080.ipynb,threshold080,kernel5,XGBoost,0.9241,0.4767,0.8008,0.5977,0.5817,0.9408,0.7278,"[[226630 16163]
 [3664 14726]]",242793,18390,7 min
XGBoost.1200p.threshold085.ipynb,threshold085,kernel5,XGBoost,0.9376,0.5406,0.7622,0.6325,0.6101,0.9408,0.7278,"[[230880 11913]
 [4374 14016]]",242793,18390,7 min
XGBoost.1200p.threshold086.ipynb,threshold086,kernel5,XGBoost,0.9402,0.5557,0.7525,0.6393,0.6158,0.9408,0.7278,"[[231731 11062]
 [4552 13838]]",242793,18390,7 min
XGBoost.1200p.threshold087.ipynb,threshold087,kernel5,XGBoost,0.9427,0.5718,0.7416,0.6457,0.6213,0.9408,0.7278,"[[232580 10213]
 [4752 13638]]",242793,18390,7 min
XGBoost.1200p.threshold088.ipynb,threshold088,kernel5,XGBoost,0.945,0.5884,0.7297,0.6515,0.6262,0.9408,0.7278,"[[233406 9387]
 [4971 13419]]",242793,18390,7 min
XGBoost.1200p.threshold089.ipynb,threshold089,kernel5,XGBoost,0.9473,0.6071,0.7136,0.6561,0.6302,0.9408,0.7278,"[[234301 8492]
 [5266 13124]]",242793,18390,7 min
XGBoost.1200p.threshold090.ipynb,threshold090,kernel5,XGBoost,0.9495,0.6273,0.6967,0.6602,0.634,0.9408,0.7278,"[[235182 7611]
 [5578 12812]]",242793,18390,7 min
XGBoost.1200p.threshold091.ipynb,threshold091,kernel5,XGBoost,0.9515,0.6489,0.6779,0.6631,0.6371,0.9408,0.7278,"[[236048 6745]
 [5924 12466]]",242793,18390,7 min
XGBoost.1200p.threshold092.ipynb,threshold092,kernel5,XGBoost,0.9533,0.6716,0.6594,0.6655,0.6404,0.9408,0.7278,"[[236863 5930]
 [6263 12127]]",242793,18390,7 min
XGBoost.1200p.threshold093.ipynb,threshold093,kernel5,XGBoost,0.9551,0.6988,0.6359,0.6659,0.6427,0.9408,0.7278,"[[237752 5041]
 [6695 11695]]",242793,18390,7 min
XGBoost.1200p.threshold095.ipynb,threshold095,kernel5,XGBoost,0.9574,0.764,0.5721,0.6543,0.6396,0.9408,0.7278,"[[239543 3250]
 [7869 10521]]",242793,18390,7 min
