label,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,Mean,MeanAbsoluteDeviation,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance
0,694.0,1206.0,1089101200.0,4.690913,225.5,3.3656523,1498.0,882.58154,157.34714,816.0,182.0,1316.0,105.85262,904.57605,0.82248354,1089101200.0,0.053100627,39307.676
0,0.0,1507.0,1095545900.0,3.9156938,1383.0,1.295,1778.0,614.58826,634.37915,204.0,0.0,1778.0,572.32916,907.2485,0.35207394,1095545900.0,0.2261164,445381.03
0,53.0,131.0,15232083.0,2.1483884,32.0,3.718429,176.0,102.450035,23.738869,113.0,8.0,168.0,14.941522,106.97705,-1.0972929,15232083.0,0.30651554,948.0792
0,244.0,309.0,100603540.0,2.2776296,37.5,9.209699,367.0,272.7453,24.077944,276.0,83.0,284.0,15.183269,274.92712,-1.8022995,100603540.0,0.258638,1194.9216
0,198.0,369.0,125707330.0,3.095133,69.0,3.612259,392.0,300.58902,48.339996,309.0,101.0,291.0,32.014565,307.3203,-1.0703758,125707330.0,0.14299762,4092.0107
0,932.0,1477.0,2122142100.0,5.021501,294.5,5.2104836,1741.0,1241.1578,180.74117,1291.0,135.0,1606.0,126.65141,1262.6942,-1.1679722,2122142100.0,0.037263747,53924.16
0,0.0,1133.0,507823740.0,3.8524568,896.0,1.6477646,1302.0,401.88055,429.87292,94.0,0.0,1302.0,363.61243,617.6856,0.5982102,507823740.0,0.23237754,220027.53
0,0.0,1497.0,1223218800.0,4.12112,1389.0,1.2268378,1715.0,702.1878,617.547,709.0,0.0,1715.0,584.08466,958.65656,0.047306735,1223218800.0,0.18416922,425954.7
0,0.0,1450.0,1004320960.0,4.574639,1250.0,1.4233176,1795.0,629.0571,554.341,489.0,0.0,1795.0,498.6184,868.65485,0.25108972,1004320960.0,0.14758001,358848.38
0,0.0,1660.0,1394541600.0,4.6378245,1504.0,1.4143803,1962.0,765.04956,614.7049,700.0,0.0,1962.0,562.78564,1023.59155,0.13485593,1394541600.0,0.13624877,462438.84
0,0.0,2121.0,3186418700.0,5.5506387,1122.5,2.2704544,3305.0,1295.6101,709.7576,1587.0,0.0,3305.0,659.86523,1547.2567,-0.22846638,3186418700.0,0.061214376,715398.0
1,266.0,345.0,126852130.0,2.3022306,42.0,2.625888,374.0,307.299,24.188171,313.0,217.0,157.0,17.572126,308.71652,-0.35024258,126852130.0,0.23043914,873.1923
0,837.0,1211.0,1372485600.0,4.4406595,218.0,2.3487399,1380.0,1005.6379,117.98884,982.0,556.0,824.0,88.99905,1015.4648,0.25350985,1372485600.0,0.052575666,19861.223
0,492.0,1546.0,2079832600.0,5.431386,301.5,3.6888916,1861.0,1186.7799,297.2367,1310.0,92.0,1769.0,178.69145,1250.0436,-1.2791076,2079832600.0,0.031129044,154162.53
0,266.0,332.0,119273630.0,2.2206876,33.0,9.277459,383.0,297.69272,21.991003,300.0,83.0,300.0,13.718239,299.35272,-1.6786897,119273630.0,0.27160284,991.0949
0,35.0,322.0,33548432.0,2.76877,41.5,5.9074564,516.0,105.31104,85.46122,54.0,12.0,504.0,39.299236,158.76219,2.0306137,33548432.0,0.25997016,14115.017
0,970.0,1481.0,2094984100.0,5.0577197,279.0,4.7432904,1796.0,1235.3644,168.12758,1260.0,301.0,1495.0,114.500626,1254.5886,-0.8850183,2094984100.0,0.035939492,47867.363
0,852.0,1342.0,1706723600.0,4.879656,234.0,3.648731,1536.0,1115.789,149.3036,1144.0,415.0,1121.0,99.24464,1132.381,-0.77271795,1706723600.0,0.04079848,37301.82
0,129.0,301.0,77689280.0,3.1816077,92.5,2.7510893,341.0,232.4245,54.25586,253.0,35.0,306.0,39.18376,241.597,-0.8579507,77689280.0,0.13392313,4347.9634
0,658.0,1690.0,2635601400.0,5.2764845,329.0,5.112559,1907.0,1342.8933,312.18985,1496.0,0.0,1907.0,179.115,1407.1838,-1.6598935,2635601400.0,0.03461749,176803.92
0,0.0,305.0,63586172.0,3.6200035,202.0,1.7842286,371.0,188.87303,97.093636,227.0,0.0,371.0,95.02791,218.57089,-0.49742383,63586172.0,0.093948215,12100.212
0,0.0,1068.0,491918700.0,3.5571742,950.5,1.4957353,1212.0,398.07288,426.05078,107.0,0.0,1212.0,368.8429,607.93567,0.519081,491918700.0,0.25890556,211123.78
0,1219.0,1588.0,2672062200.0,4.539724,223.0,2.7325306,1927.0,1409.3651,120.36825,1412.0,1043.0,884.0,89.55701,1416.8839,0.16769461,2672062200.0,0.048690956,21249.8
0,532.0,965.0,738027460.0,4.8038354,202.5,5.2376237,1459.0,715.867,145.55862,690.0,81.0,1378.0,86.652306,744.6415,0.49674508,738027460.0,0.04681126,42025.344
0,493.0,1367.0,1554972700.0,5.3820295,326.0,3.7335956,1593.0,1034.6018,233.73944,1083.0,80.0,1513.0,148.05223,1080.8672,-1.0649316,1554972700.0,0.029509004,97873.055
0,45.0,366.0,102111300.0,3.4644437,179.5,2.1995022,475.0,250.15703,100.81682,299.0,16.0,459.0,77.24755,276.97964,-0.7917887,102111300.0,0.12324103,14139.191
0,854.0,1524.0,2113658900.0,5.5198617,332.0,4.575957,2254.0,1220.3606,229.83665,1255.0,141.0,2113.0,140.78787,1260.168,-0.13206562,2113658900.0,0.0285573,98743.164
0,247.0,1154.0,1038595100.0,4.9047403,732.0,1.6340945,1281.0,802.9031,337.06357,1032.0,67.0,1214.0,290.24933,883.3526,-0.5826046,1038595100.0,0.046934314,135658.48
0,931.0,1441.0,1981422800.0,5.0176907,280.5,5.366801,1666.0,1198.2103,173.0241,1229.0,155.0,1511.0,114.284454,1220.1116,-1.270904,1981422800.0,0.0374647,52964.23
0,181.0,565.0,274498050.0,4.0612392,164.0,4.268231,631.0,428.18707,115.07425,475.0,0.0,631.0,74.10019,454.13043,-1.3881989,274498050.0,0.07509366,22890.277
